Time [s], Analyzer Name, Decoded Protocol Result
0.898723500000000,Async Serial,\n
0.898810500000000,Async Serial,\r
0.898898000000000,Async Serial,\n
0.898985500000000,Async Serial,B
0.899072500000000,Async Serial,u
0.899160000000000,Async Serial,i
0.899247000000000,Async Serial,l
0.899334500000000,Async Serial,t
0.899422000000000,Async Serial,' '
0.899509000000000,Async Serial,o
0.899596500000000,Async Serial,n
0.899683500000000,Async Serial,' '
0.899771000000000,Async Serial,J
0.899858000000000,Async Serial,u
0.899945500000000,Async Serial,n
0.900033000000000,Async Serial,' '
0.900120000000000,Async Serial,' '
0.900207500000000,Async Serial,4
0.900294500000000,Async Serial,' '
0.900382000000000,Async Serial,2
0.900469000000000,Async Serial,0
0.900556500000000,Async Serial,1
0.900644000000000,Async Serial,3
0.900731000000000,Async Serial,' '
0.900818500000000,Async Serial,1
0.900905500000000,Async Serial,7
0.900993000000000,Async Serial,:
0.901080000000000,Async Serial,1
0.901167500000000,Async Serial,2
0.901255000000000,Async Serial,:
0.901342000000000,Async Serial,3
0.901429500000000,Async Serial,8
0.901516500000000,Async Serial,\n
0.901604000000000,Async Serial,\r
0.901813500000000,Async Serial,C
0.901901000000000,Async Serial,o
0.901988000000000,Async Serial,n
0.902075500000000,Async Serial,f
0.902162500000000,Async Serial,i
0.902250000000000,Async Serial,g
0.902337000000000,Async Serial,' '
0.902424500000000,Async Serial,l
0.902512000000000,Async Serial,o
0.902599000000000,Async Serial,s
0.902686500000000,Async Serial,t
0.902773500000000,Async Serial,' '
0.902861000000000,Async Serial,-
0.902948000000000,Async Serial,' '
0.903035500000000,Async Serial,R
0.903123000000000,Async Serial,T
0.903210000000000,Async Serial,C
0.903297500000000,Async Serial,' '
0.903384500000000,Async Serial,i
0.903472000000000,Async Serial,n
0.903559500000000,Async Serial,v
0.903646500000000,Async Serial,a
0.903734000000000,Async Serial,l
0.903821000000000,Async Serial,i
0.903908500000000,Async Serial,d
0.903995500000000,Async Serial,' '
0.904083000000000,Async Serial,-
0.904170500000000,Async Serial,' '
0.904257500000000,Async Serial,e
0.904345000000000,Async Serial,x
0.904432000000000,Async Serial,t
0.904519500000000,Async Serial,e
0.904606500000000,Async Serial,r
0.904694000000000,Async Serial,n
0.904781500000000,Async Serial,a
0.904868500000000,Async Serial,l
0.904956000000000,Async Serial,' '
0.905043000000000,Async Serial,r
0.905130500000000,Async Serial,e
0.905218000000000,Async Serial,s
0.905305000000000,Async Serial,e
0.905392500000000,Async Serial,t
0.905479500000000,Async Serial,/
0.905567000000000,Async Serial,p
0.905654000000000,Async Serial,o
0.905741500000000,Async Serial,w
0.905829000000000,Async Serial,e
0.905916000000000,Async Serial,r
0.906003500000000,Async Serial,' '
0.906090500000000,Async Serial,f
0.906178000000000,Async Serial,a
0.906265000000000,Async Serial,i
0.906352500000000,Async Serial,l
0.906440000000000,Async Serial,u
0.906527000000000,Async Serial,r
0.906614500000000,Async Serial,e
0.906701500000000,Async Serial,\n
0.906789000000000,Async Serial,\r
0.909949000000000,Async Serial,\n
0.910036000000000,Async Serial,\r
0.910123500000000,Async Serial,0
0.910210500000000,Async Serial,4
0.910298000000000,Async Serial,0
0.910385500000000,Async Serial,0
0.910472500000000,Async Serial,3
0.910560000000000,Async Serial,6
0.910647000000000,Async Serial,6
0.910734500000000,Async Serial,0
0.910821500000000,Async Serial,:
0.910909000000000,Async Serial,' '
0.910996500000000,Async Serial,' '
0.911083500000000,Async Serial,' '
0.911171000000000,Async Serial,' '
0.911258000000000,Async Serial,' '
0.911345500000000,Async Serial,' '
0.911432500000000,Async Serial,' '
0.911520000000000,Async Serial,' '
0.911607500000000,Async Serial,' '
0.911694500000000,Async Serial,' '
0.911782000000000,Async Serial,' '
0.911869000000000,Async Serial,' '
0.911956500000000,Async Serial,' '
0.912044000000000,Async Serial,' '
0.912131000000000,Async Serial,' '
0.912218500000000,Async Serial,' '
0.912305500000000,Async Serial,' '
0.912393000000000,Async Serial,' '
0.912480000000000,Async Serial,' '
0.912567500000000,Async Serial,' '
